epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,426.074,1.55485,1.11042,1.50507,0.56256,0.47088,0.47112,0.16807,2.35508,1.68519,2.20604,0.0016733,0.0016733,0.0016733
68,432.364,1.56538,1.09645,1.48025,0.52495,0.5254,0.47955,0.18171,2.3517,1.59439,2.16455,0.00166835,0.00166835,0.00166835
69,438.55,1.54691,1.11398,1.49169,0.568,0.55638,0.54016,0.19295,2.30916,1.48272,2.15138,0.0016634,0.0016634,0.0016634
70,444.984,1.56184,1.13319,1.50546,0.60187,0.54275,0.54751,0.20585,2.31461,1.49048,2.16127,0.00165845,0.00165845,0.00165845
71,451.23,1.5175,1.08126,1.48782,0.56581,0.55019,0.54148,0.20445,2.28218,1.48657,2.10894,0.0016535,0.0016535,0.0016535
72,457.676,1.56208,1.12508,1.4989,0.5397,0.57099,0.50806,0.19078,2.24731,1.50512,2.14516,0.00164855,0.00164855,0.00164855
73,463.953,1.54362,1.09673,1.50186,0.5389,0.51425,0.49033,0.17613,2.35332,1.61585,2.19324,0.0016436,0.0016436,0.0016436
74,470.107,1.54433,1.11926,1.50349,0.5818,0.50929,0.52137,0.19197,2.2538,1.50413,2.09961,0.00163865,0.00163865,0.00163865
75,476.648,1.51943,1.09218,1.48244,0.6237,0.51346,0.52679,0.19244,2.24322,1.52514,2.10327,0.0016337,0.0016337,0.0016337
76,482.829,1.48138,1.06822,1.46507,0.60141,0.52788,0.54115,0.19425,2.28319,1.48083,2.14981,0.00162875,0.00162875,0.00162875
77,489.569,1.53464,1.08335,1.47279,0.61658,0.56592,0.54736,0.20472,2.23281,1.52441,2.09392,0.0016238,0.0016238,0.0016238
78,495.805,1.49169,1.02871,1.44383,0.55285,0.53656,0.51034,0.18061,2.31849,1.55002,2.13861,0.00161885,0.00161885,0.00161885
79,502.174,1.52473,1.0369,1.45576,0.54571,0.52396,0.49319,0.16951,2.27493,1.52339,2.13201,0.0016139,0.0016139,0.0016139
80,508.391,1.47255,1.03342,1.44988,0.55516,0.56258,0.52597,0.19449,2.29571,1.45026,2.14504,0.00160895,0.00160895,0.00160895
81,514.568,1.46587,1.02452,1.44856,0.55799,0.50558,0.48113,0.18043,2.3061,1.50079,2.16626,0.001604,0.001604,0.001604
82,521.341,1.5098,1.07003,1.4521,0.61126,0.52292,0.53493,0.20682,2.30602,1.48746,2.16068,0.00159905,0.00159905,0.00159905
